From<->To,Time
BOT<->WP1,361
WP1<->WP2,280
BOT<->WP2,250
BOT<->WP3,278
WP1<->WP3,416
WP1<->WP4,557
BOT<->WP4,417
BOT<->WP5,474
WP1<->WP5,275
WP1<->WP6,332
BOT<->WP6,389
BOT<->WP7,389
WP1<->WP7,445
WP1<->WP8,584
BOT<->WP8,474
BOT<->WP9,556
WP1<->WP9,445
WP1<->WP10,555
BOT<->WP10,556
BOT<->WP1_TOP,335
WP1<->WP1_TOP,250
WP1<->WP2_TOP,305
BOT<->WP2_TOP,193
BOT<->WP3_TOP,250
WP1<->WP3_TOP,445
WP1<->WP4_TOP,584
BOT<->WP4_TOP,389
BOT<->WP5_TOP,445
WP1<->WP5_TOP,304
WP1<->WP6_TOP,361
BOT<->WP6_TOP,362
BOT<->WP7_TOP,361
WP1<->WP7_TOP,473
WP1<->WP8_TOP,613
BOT<->WP8_TOP,446
BOT<->WP9_TOP,556
WP1<->WP9_TOP,473
WP1<->WP10_TOP,556
BOT<->WP10_TOP,557
A1<->BOT,305
A1<->WP1,126
A2<->WP1,250
A2<->BOT,209
A7<->BOT,390
A7<->WP1,434
A8<->WP1,555
A8<->BOT,376
BOT<->DA5,446
DA5<->WP1,277
DA6<->WP1,307
BOT<->DA6,388
A1_TOP<->BOT,278
A1_TOP<->WP1,208
A2_TOP<->WP1,276
A2_TOP<->BOT,182
A7_TOP<->BOT,389
A7_TOP<->WP1,501
A8_TOP<->WP1,583
A8_TOP<->BOT,378
BOT<->DA5_TOP,417
DA5_TOP<->WP1,304
DA6_TOP<->WP1,334
BOT<->DA6_TOP,386
BIN1<->BOT,613
BIN1<->WP1,809
BIN1_TOP<->WP1,807
BIN1_TOP<->BOT,614
WP2<->WP3,238
WP3<->WP4,277
WP2<->WP4,415
WP2<->WP5,390
WP3<->WP5,474
WP3<->WP6,360
WP2<->WP6,334
WP2<->WP7,334
WP3<->WP7,334
WP3<->WP8,359
WP2<->WP8,446
WP2<->WP9,501
WP3<->WP9,530
WP10<->WP3,501
WP10<->WP2,472
WP1_TOP<->WP2,304
WP1_TOP<->WP3,446
WP2_TOP<->WP3,305
WP2<->WP2_TOP,251
WP2<->WP3_TOP,305
WP3<->WP3_TOP,249
WP3<->WP4_TOP,305
WP2<->WP4_TOP,445
WP2<->WP5_TOP,391
WP3<->WP5_TOP,472
WP3<->WP6_TOP,363
WP2<->WP6_TOP,306
WP2<->WP7_TOP,359
WP3<->WP7_TOP,305
WP3<->WP8_TOP,362
WP2<->WP8_TOP,473
WP2<->WP9_TOP,502
WP3<->WP9_TOP,529
WP10_TOP<->WP3,528
WP10_TOP<->WP2,503
A1<->WP2,247
A1<->WP3,349
A2<->WP3,305
A2<->WP2,154
A7<->WP2,359
A7<->WP3,293
A8<->WP3,333
A8<->WP2,406
DA5<->WP2,388
DA5<->WP3,446
DA6<->WP3,392
DA6<->WP2,334
A1_TOP<->WP2,278
A1_TOP<->WP3,349
A2_TOP<->WP3,333
A2_TOP<->WP2,210
A7_TOP<->WP2,390
A7_TOP<->WP3,265
A8_TOP<->WP3,331
A8_TOP<->WP2,406
DA5_TOP<->WP2,361
DA5_TOP<->WP3,445
DA6_TOP<->WP3,388
DA6_TOP<->WP2,334
BIN1<->WP2,641
BIN1<->WP3,502
BIN1_TOP<->WP3,500
BIN1_TOP<->WP2,668
WP4<->WP5,544
WP5<->WP6,278
WP4<->WP6,445
WP4<->WP7,333
WP5<->WP7,416
WP5<->WP8,557
WP4<->WP8,307
WP4<->WP9,556
WP5<->WP9,331
WP10<->WP5,446
WP10<->WP4,472
WP1_TOP<->WP4,585
WP1_TOP<->WP5,306
WP2_TOP<->WP5,389
WP2_TOP<->WP4,446
WP3_TOP<->WP4,305
WP3_TOP<->WP5,514
WP4_TOP<->WP5,599
WP4<->WP4_TOP,250
WP4<->WP5_TOP,613
WP5<->WP5_TOP,250
WP5<->WP6_TOP,306
WP4<->WP6_TOP,474
WP4<->WP7_TOP,362
WP5<->WP7_TOP,444
WP5<->WP8_TOP,584
WP4<->WP8_TOP,306
WP4<->WP9_TOP,584
WP5<->WP9_TOP,361
WP10_TOP<->WP5,473
WP10_TOP<->WP4,502
A1<->WP4,529
A1<->WP5,265
A2<->WP5,389
A2<->WP4,445
A7<->WP4,305
A7<->WP5,404
A8<->WP5,529
A8<->WP4,237
DA5<->WP4,557
DA5<->WP5,163
DA6<->WP5,250
DA6<->WP4,502
