TaskId,Name,From,To,time
0,R,BOT,WP1_TOP,335
0,R,WP1_TOP,WP1,250
0,G,WP1,WP1,44
0,M,WP1,WP1_TOP,250
0,M,WP1_TOP,A1_TOP,125
0,A,A1_TOP,A1_TOP,138
0,RL,A1_TOP,A1_TOP,44
0,R,A1_TOP,BOT,278
1,R,BOT,WP2_TOP,193
1,R,WP2_TOP,WP2,251
1,G,WP2,WP2,44
1,M,WP2,WP2_TOP,251
1,M,WP2_TOP,A2_TOP,153
1,A,A2_TOP,A2_TOP,138
1,M,A2_TOP,BIN1_TOP,668
1,RL,BIN1_TOP,BIN1_TOP,44
1,R,BIN1_TOP,BOT,614
2,R,BOT,WP3_TOP,250
2,R,WP3_TOP,WP3,249
2,G,WP3,WP3,44
2,M,WP3,WP3_TOP,249
2,M,WP3_TOP,BIN1_TOP,500
2,RL,BIN1_TOP,BIN1_TOP,44
2,R,BIN1_TOP,BOT,614
3,R,BOT,WP4_TOP,389
3,R,WP4_TOP,WP4,250
3,G,WP4,WP4,44
3,M,WP4,WP4_TOP,250
3,M,WP4_TOP,BIN1_TOP,362
3,RL,BIN1_TOP,BIN1_TOP,44
3,R,BIN1_TOP,BOT,614
4,R,BOT,DA5_TOP,417
4,DA,DA5_TOP,DA5_TOP,138
4,M,DA5_TOP,BIN1_TOP,779
4,RL,BIN1_TOP,BIN1_TOP,44
4,R,BIN1_TOP,BOT,614
5,R,BOT,DA6_TOP,386
5,R,DA6_TOP,WP6,250
5,G,WP6,WP6,44
5,M,WP6,DA6_TOP,250
5,DA,DA6_TOP,DA6_TOP,138
5,M,DA6_TOP,BIN1_TOP,692
5,RL,BIN1_TOP,BIN1_TOP,44
5,R,BIN1_TOP,BOT,614
6,R,BOT,WP7_TOP,361
6,R,WP7_TOP,WP7,249
6,G,WP7,WP7,44
6,M,WP7,WP7_TOP,249
6,M,WP7_TOP,A7_TOP,153
6,A,A7_TOP,A7_TOP,138
6,RL,A7_TOP,A7_TOP,44
6,R,A7_TOP,BOT,389
7,R,BOT,WP8_TOP,446
7,R,WP8_TOP,WP8,250
7,G,WP8,WP8,44
7,M,WP8,WP8_TOP,250
7,M,WP8_TOP,A8_TOP,127
7,A,A8_TOP,A8_TOP,138
7,M,A8_TOP,BIN1_TOP,419
7,RL,BIN1_TOP,BIN1_TOP,44
7,R,BIN1_TOP,BOT,614
8,R,BOT,WP9_TOP,556
8,R,WP9_TOP,WP9,248
8,G,WP9,WP9,44
8,M,WP9,WP9_TOP,248
8,M,WP9_TOP,BIN1_TOP,723
8,RL,BIN1_TOP,BIN1_TOP,44
8,R,BIN1_TOP,BOT,614
9,R,BOT,WP10_TOP,557
9,R,WP10_TOP,WP10,250
9,G,WP10,WP10,44
9,M,WP10,WP10_TOP,250
9,M,WP10_TOP,BIN1_TOP,611
9,RL,BIN1_TOP,BIN1_TOP,44
9,R,BIN1_TOP,BOT,614
