From<->To,Time
BOT<->WP1,294
WP1<->WP2,277
BOT<->WP2,250
BOT<->WP3,277
WP1<->WP3,416
WP1<->WP4,556
BOT<->WP4,416
BOT<->WP5,474
WP1<->WP5,277
WP1<->WP6,334
BOT<->WP6,390
BOT<->WP7,389
WP1<->WP7,445
WP1<->WP8,584
BOT<->WP8,474
BOT<->WP9,556
WP1<->WP9,445
WP1<->WP10,528
BOT<->WP10,557
BOT<->WP1_TOP,335
WP1<->WP1_TOP,249
WP1<->WP2_TOP,305
BOT<->WP2_TOP,195
BOT<->WP3_TOP,248
WP1<->WP3_TOP,446
WP1<->WP4_TOP,585
BOT<->WP4_TOP,391
BOT<->WP5_TOP,445
WP1<->WP5_TOP,306
WP1<->WP6_TOP,361
BOT<->WP6_TOP,359
BOT<->WP7_TOP,362
WP1<->WP7_TOP,473
WP1<->WP8_TOP,613
BOT<->WP8_TOP,445
BOT<->WP9_TOP,558
WP1<->WP9_TOP,473
WP1<->WP10_TOP,557
BOT<->WP10_TOP,558
A1_TOP<->BOT,277
A1_TOP<->WP1,250
A2_TOP<->WP1,278
A2_TOP<->BOT,222
A7_TOP<->BOT,389
A7_TOP<->WP1,500
A8_TOP<->WP1,559
A8_TOP<->BOT,416
BOT<->DA3_TOP,276
DA3_TOP<->WP1,474
DA4_TOP<->WP1,557
BOT<->DA4_TOP,361
BIN1<->BOT,613
BIN1<->WP1,808
BIN1_TOP<->WP1,808
BIN1_TOP<->BOT,613
WP2<->WP3,237
WP3<->WP4,278
WP2<->WP4,419
WP2<->WP5,388
WP3<->WP5,473
WP3<->WP6,362
WP2<->WP6,332
WP2<->WP7,335
WP3<->WP7,334
WP3<->WP8,361
WP2<->WP8,444
WP2<->WP9,501
WP3<->WP9,529
WP10<->WP3,501
WP10<->WP2,472
WP1_TOP<->WP2,307
WP1_TOP<->WP3,445
WP2_TOP<->WP3,306
WP2<->WP2_TOP,251
WP2<->WP3_TOP,306
WP3<->WP3_TOP,251
WP3<->WP4_TOP,306
WP2<->WP4_TOP,446
WP2<->WP5_TOP,390
WP3<->WP5_TOP,473
WP3<->WP6_TOP,362
WP2<->WP6_TOP,306
WP2<->WP7_TOP,361
WP3<->WP7_TOP,306
WP3<->WP8_TOP,360
WP2<->WP8_TOP,472
WP2<->WP9_TOP,501
WP3<->WP9_TOP,528
WP10_TOP<->WP3,529
WP10_TOP<->WP2,502
A1_TOP<->WP2,277
A1_TOP<->WP3,416
A2_TOP<->WP3,334
A2_TOP<->WP2,250
A7_TOP<->WP2,390
A7_TOP<->WP3,333
A8_TOP<->WP3,334
A8_TOP<->WP2,445
DA3_TOP<->WP2,333
DA3_TOP<->WP3,247
DA4_TOP<->WP3,280
DA4_TOP<->WP2,417
BIN1<->WP2,641
BIN1<->WP3,501
BIN1_TOP<->WP3,501
BIN1_TOP<->WP2,641
WP4<->WP5,544
WP5<->WP6,280
WP4<->WP6,443
WP4<->WP7,335
WP5<->WP7,416
WP5<->WP8,557
WP4<->WP8,305
WP4<->WP9,556
WP5<->WP9,335
WP10<->WP5,461
WP10<->WP4,473
WP1_TOP<->WP4,584
WP1_TOP<->WP5,306
WP2_TOP<->WP5,417
WP2_TOP<->WP4,443
WP3_TOP<->WP4,306
WP3_TOP<->WP5,473
WP4_TOP<->WP5,612
WP4<->WP4_TOP,249
WP4<->WP5_TOP,612
WP5<->WP5_TOP,250
WP5<->WP6_TOP,306
WP4<->WP6_TOP,474
WP4<->WP7_TOP,362
WP5<->WP7_TOP,445
WP5<->WP8_TOP,585
WP4<->WP8_TOP,305
WP4<->WP9_TOP,583
WP5<->WP9_TOP,366
WP10_TOP<->WP5,470
WP10_TOP<->WP4,500
A1_TOP<->WP4,556
A1_TOP<->WP5,333
A2_TOP<->WP5,361
A2_TOP<->WP4,474
A7_TOP<->WP4,334
A7_TOP<->WP5,473
A8_TOP<->WP5,556
A8_TOP<->WP4,306
DA3_TOP<->WP4,278
DA3_TOP<->WP5,500
DA4_TOP<->WP5,585
DA4_TOP<->WP4,250
BIN1<->WP4,362
BIN1<->WP5,808
BIN1_TOP<->WP5,808
BIN1_TOP<->WP4,361
WP6<->WP7,237
WP7<->WP8,277
WP6<->WP8,416
WP6<->WP9,306
WP7<->WP9,333
WP10<->WP7,306
