TaskId,Name,Start,Position,time
2,R,0.0,WP3_TOP,250
2,R,0.0,WP3,249
2,G,0.0,WP3,44
2,M,0.0,WP3_TOP,249
2,M,0.0,BIN1_TOP,500
2,RL,0.0,BIN1_TOP,44
2,R,0.0,AGENT,614
4,R,1336.0,DA5_TOP,417
4,DA,1336.0,DA5_TOP,138
4,M,1336.0,BIN1_TOP,779
4,RL,1336.0,BIN1_TOP,44
4,R,1336.0,AGENT,614
5,R,1950.0,DA6_TOP,692
5,R,1950.0,WP6,250
5,G,1950.0,WP6,44
5,M,1950.0,DA6_TOP,250
5,DA,1950.0,DA6_TOP,138
5,M,1950.0,BIN1_TOP,692
5,RL,1950.0,BIN1_TOP,44
5,R,1950.0,AGENT,0
3,R,2047.0,WP4_TOP,389
3,R,2047.0,WP4,250
3,G,2047.0,WP4,44
3,M,2047.0,WP4_TOP,250
3,M,2047.0,BIN1_TOP,362
3,RL,2047.0,BIN1_TOP,44
3,R,2047.0,AGENT,614
