TaskId,Name,Start,Position,time
9,R,0.0,WP10_TOP,557
9,R,0.0,WP10,250
9,G,0.0,WP10,44
9,M,0.0,WP10_TOP,250
9,M,0.0,BIN1_TOP,611
9,RL,0.0,BIN1_TOP,44
9,R,0.0,AGENT,614
0,R,525.0,WP1_TOP,335
0,R,525.0,WP1,250
0,G,525.0,WP1,44
0,M,525.0,WP1_TOP,250
0,M,525.0,A1_TOP,125
0,A,525.0,A1_TOP,138
0,RL,525.0,A1_TOP,44
0,R,525.0,AGENT,278
1,R,803.0,WP2_TOP,252
1,R,803.0,WP2,251
1,G,803.0,WP2,44
1,M,803.0,WP2_TOP,251
1,M,803.0,A2_TOP,153
1,A,803.0,A2_TOP,138
1,M,803.0,BIN1_TOP,668
1,RL,803.0,BIN1_TOP,44
1,R,803.0,AGENT,736
2,R,2115.0,WP3_TOP,250
2,R,2115.0,WP3,249
2,G,2115.0,WP3,44
2,M,2115.0,WP3_TOP,249
2,M,2115.0,BIN1_TOP,500
2,RL,2115.0,BIN1_TOP,44
2,R,2115.0,AGENT,614
3,R,2655.0,WP4_TOP,389
3,R,2655.0,WP4,250
3,G,2655.0,WP4,44
3,M,2655.0,WP4_TOP,250
3,M,2655.0,BIN1_TOP,362
3,RL,2655.0,BIN1_TOP,44
3,R,2655.0,AGENT,614
