OHT_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
6,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
7,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1
8,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
10,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
11,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,-1,-1,0
