TaskId,Name,Start,Position,time
0,R,740.0,WP1_TOP,472
0,R,1212.0,WP1,46
0,G,1258.0,WP1,44
0,M,1302.0,WP1_TOP,46
0,M,1348.0,A1_TOP,45
0,A,1393.0,A1_TOP,120
0,RL,1513.0,A1_TOP,44
2,R,1557.0,WP3_TOP,16
2,R,1573.0,WP3,176
2,G,1749.0,WP3,44
2,M,1793.0,WP3_TOP,176
2,M,1969.0,BIN1_TOP,46
2,M,2015.0,BIN1,17
2,RL,2032.0,BIN1,44
2,R,2076.0,BIN1_TOP,17
3,R,2093.0,WP4_TOP,16
3,R,2109.0,WP4,173
3,G,2282.0,WP4,44
3,M,2326.0,WP4_TOP,173
3,M,2499.0,BIN1_TOP,16
3,M,2515.0,BIN1,17
3,RL,2532.0,BIN1,44
3,R,2576.0,BIN1_TOP,17
