TaskId,Name,Start,Position,time
4,R,170.0,DA5_TOP,105.0
4,DA,275.0,DA5_TOP,138.0
4,M,413.0,BIN1_TOP,168.0
4,RL,581.0,BIN1_TOP,20.0
4,R,601.0,AGENT,212.0
0,R,813.0,WP1_TOP,122.0
0,R,935.0,WP1,55.0
0,G,990.0,WP1,20.0
0,M,1010.0,WP1_TOP,58.99999999999999
0,M,1069.0,A1_TOP,40.0
0,A,1109.0,A1_TOP,138.0
0,RL,1247.0,A1_TOP,20.0
0,R,1267.0,AGENT,128.0
6,R,1683.0,WP7_TOP,142.0
6,R,1825.0,WP7,55.0
6,G,1880.0,WP7,20.0
6,M,1900.0,WP7_TOP,58.99999999999999
6,M,1959.0,A7_TOP,40.0
6,A,1999.0,A7_TOP,138.0
6,RL,2137.0,A7_TOP,20.0
6,R,2157.0,AGENT,142.0
8,R,2298.0,WP9_TOP,105.0
8,R,2403.0,WP9,55.0
8,G,2458.0,WP9,20.0
8,M,2478.0,WP9_TOP,58.99999999999999
8,M,2537.0,BIN1_TOP,168.0
8,RL,2705.0,BIN1_TOP,20.0
8,R,2725.0,AGENT,212.0
