TaskId,Name,Start,Position,time
7,R,42.0,WP8_TOP,100.0
7,R,142.0,WP8,55.0
7,G,197.0,WP8,20.0
7,M,217.0,WP8_TOP,58.99999999999999
7,M,276.0,A8_TOP,40.0
7,A,316.0,A8_TOP,138.0
7,M,454.0,BIN1_TOP,112.00000000000001
7,RL,566.0,BIN1_TOP,20.0
7,R,586.0,AGENT,122.0
8,R,707.0,WP9_TOP,128.0
8,R,835.0,WP9,55.0
8,G,890.0,WP9,20.0
8,M,910.0,WP9_TOP,58.99999999999999
8,M,969.0,BIN1_TOP,168.0
8,RL,1137.0,BIN1_TOP,20.0
8,R,1157.0,AGENT,122.0
5,R,1286.0,DA6_TOP,142.0
5,R,1428.0,WP6,55.0
5,G,1483.0,WP6,20.0
5,M,1503.0,DA6_TOP,58.99999999999999
5,DA,1562.0,DA6_TOP,138.0
5,M,1700.0,BIN1_TOP,156.0
5,RL,1856.0,BIN1_TOP,20.0
5,R,1876.0,AGENT,122.0
3,R,1997.0,WP4_TOP,122.0
3,R,2119.0,WP4,55.0
3,G,2174.0,WP4,20.0
3,M,2194.0,WP4_TOP,58.99999999999999
3,M,2253.0,BIN1_TOP,92.0
3,RL,2345.0,BIN1_TOP,20.0
3,R,2365.0,AGENT,122.0
