Name,x_coord,y_coord,z_coord
LH,-20,5,-48
RH,20,5,-48
BOT,0,13.5,-20
WP1,-12.5,6,-22.5
WP2,2.5,6,-22.5
WP3,17.5,6,-22.5
WP4,-12.5,6,-37.5
WP5,2.5,6,-37.5
WP6,17.5,6,-37.5
WP1_TOP,-12.5,13.5,-22.5
WP2_TOP,2.5,13.5,-22.5
WP3_TOP,17.5,13.5,-22.5
WP4_TOP,-12.5,13.5,-37.5
WP5_TOP,2.5,13.5,-37.5
WP6_TOP,17.5,13.5,-37.5
A2,7.5,13.5,-22.5
A3,12.5,13.5,-22.5
A4,-7.5,13.5,-37.5
A5,-2.5,13.5,-37.5
BIN1,-27.5,7,-22.5
BIN2,32.5,7,-22.5
BIN3,-27.5,7,-32.5
BIN4,32.5,7,-32.5
BIN1_TOP,-27.5,13.5,-22.5
BIN2_TOP,32.5,13.5,-22.5
BIN3_TOP,-27.5,13.5,-32.5
BIN4_TOP,32.5,13.5,-32.5
