Name,x_coord,y_coord,z_coord
LH,-20,5,-48
RH,20,5,-48
BOT,0,13.5,-20
WP1,-12.5,6,-22.5
WP2,-2.5,6,-22.5
WP3,7.5,6,-22.5
WP4,17.5,6,-22.5
WP5,-12.5,6,-32.5
WP6,-2.5,6,-32.5
WP7,7.5,6,-32.5
WP8,17.5,6,-32.5
WP9,-2.5,6,-42.5
WP10,7.5,6,-42.5
WP1_TOP,-12.5,13.5,-22.5
WP2_TOP,-2.5,13.5,-22.5
WP3_TOP,7.5,13.5,-22.5
WP4_TOP,17.5,13.5,-22.5
WP5_TOP,-12.5,13.5,-32.5
WP6_TOP,-2.5,13.5,-32.5
WP7_TOP,7.5,13.5,-32.5
WP8_TOP,17.5,13.5,-32.5
WP9_TOP,-2.5,13.5,-42.5
WP10_TOP,7.5,13.5,-42.5
A1,-10,6,-22.5
A2,-5,6,-22.5
A7,10,6,-32.5
A8,15,6,-32.5
DA5,-10,6,-32.5
DA6,-5,6,-32.5
A1_TOP,-10,13.5,-22.5
A2_TOP,-5,13.5,-22.5
A7_TOP,10,13.5,-32.5
A8_TOP,15,13.5,-32.5
DA5_TOP,-10,13.5,-32.5
DA6_TOP,-5,13.5,-32.5
BIN1,32.5,13.5,-20
BIN1_TOP,32.5,13.5,-20
