TaskId,Name,Start,Position,time
6,R,0.0,DA6_TOP,156
6,R,156.0,DA6,89
6,G,245.0,DA6,44
6,M,289.0,DA6_TOP,89
6,DA,378.0,DA6_TOP,44
6,M,422.0,WP6_TOP,44
6,M,466.0,WP6,89
6,RL,555.0,WP6,44
10,R,599.0,WP8_TOP,244
10,R,843.0,WP8,89
10,G,932.0,WP8,44
10,M,976.0,WP8_TOP,89
10,M,1065.0,A8_TOP,44
10,A,1109.0,A8_TOP,44
10,M,1153.0,A8,89
10,RL,1242.0,A8,44
1,R,1286.0,WP2_TOP,244
1,R,1530.0,WP2,89
1,G,1619.0,WP2,44
1,M,1663.0,WP2_TOP,89
1,M,1752.0,A2_TOP,44
1,A,1796.0,A2_TOP,44
1,M,1840.0,A2,89
1,RL,1929.0,A2,44
3,R,1973.0,WP3_TOP,178
3,R,2151.0,WP3,89
3,G,2240.0,WP3,44
3,M,2284.0,WP3_TOP,89
3,M,2373.0,BIN2_TOP,289
3,M,2662.0,BIN2,89
3,RL,2751.0,BIN2,44
