TaskId,Name,Start,Position,time
1,R,28.0,WP2_TOP,142.0
1,R,170.0,WP2,55.0
1,G,225.0,WP2,20.0
1,M,245.0,WP2_TOP,58.99999999999999
1,M,304.0,A2_TOP,40.0
1,A,344.0,A2_TOP,20.0
1,M,364.0,A2,58.99999999999999
1,RL,423.0,A2,20.0
5,R,577.0,DA5_TOP,82.0
5,DA,659.0,DA5_TOP,20.0
5,M,679.0,WP5_TOP,40.0
5,M,719.0,WP5,58.99999999999999
5,RL,778.0,WP5,20.0
9,R,798.0,WP7_TOP,105.0
9,R,903.0,WP7,55.0
9,G,958.0,WP7,20.0
9,M,978.0,WP7_TOP,58.99999999999999
9,M,1037.0,A7_TOP,40.0
9,A,1077.0,A7_TOP,20.0
9,M,1097.0,A7,58.99999999999999
9,RL,1156.0,A7,20.0
12,R,1176.0,WP9_TOP,94.0
12,R,1270.0,WP9,55.0
12,G,1325.0,WP9,20.0
12,M,1345.0,WP9_TOP,58.99999999999999
12,M,1404.0,BIN1_TOP,133.0
12,M,1537.0,BIN1,58.99999999999999
12,RL,1596.0,BIN1,20.0
11,R,1616.0,A8_TOP,170.0
11,R,1786.0,A8,55.0
11,G,1841.0,A8,20.0
11,M,1861.0,A8_TOP,58.99999999999999
11,M,1920.0,BIN1_TOP,168.0
11,M,2088.0,BIN1,58.99999999999999
11,RL,2147.0,BIN1,20.0
2,R,2167.0,A1_TOP,100.0
2,R,2267.0,A1,55.0
2,G,2322.0,A1,20.0
2,M,2342.0,A1_TOP,58.99999999999999
2,M,2401.0,BIN1_TOP,105.0
2,M,2506.0,BIN1,58.99999999999999
2,RL,2565.0,BIN1,20.0
