TaskId,Name,Start,Position,time
4,R,102.0,DA5_TOP,142.0
4,DA,244.0,DA5_TOP,20.0
4,M,264.0,WP5_TOP,40.0
4,M,304.0,BIN1_TOP,92.0
4,M,396.0,BIN1,58.99999999999999
4,RL,455.0,BIN1,20.0
4,R,475.0,BIN1_TOP,55.0
1,R,529.0,WP2_TOP,117.0
1,R,646.0,WP2,55.0
1,G,701.0,WP2,20.0
1,M,721.0,WP2_TOP,58.99999999999999
1,M,780.0,A2_TOP,40.0
1,A,820.0,A2_TOP,20.0
1,M,840.0,BIN1_TOP,117.99999999999999
1,M,958.0,BIN1,58.99999999999999
1,RL,1017.0,BIN1,20.0
1,R,1037.0,BIN1_TOP,55.0
7,R,1089.0,WP8_TOP,184.0
7,R,1273.0,WP8,55.0
7,G,1328.0,WP8,20.0
7,M,1348.0,WP8_TOP,58.99999999999999
7,M,1407.0,A8_TOP,40.0
7,A,1447.0,A8_TOP,20.0
7,M,1467.0,BIN1_TOP,168.0
7,M,1635.0,BIN1,58.99999999999999
7,RL,1694.0,BIN1,20.0
7,R,1714.0,BIN1_TOP,55.0
8,R,1767.0,WP9_TOP,128.0
8,R,1895.0,WP9,55.0
8,G,1950.0,WP9,20.0
8,M,1970.0,WP9_TOP,58.99999999999999
8,M,2029.0,BIN1_TOP,133.0
8,M,2162.0,BIN1,58.99999999999999
8,RL,2221.0,BIN1,20.0
8,R,2241.0,BIN1_TOP,55.0
