TaskId,Name,Start,Position,time
5,R,0.0,WP6_TOP,82.0
5,R,82.0,WP6,74.0
5,G,156.0,,10.0
5,M,166.0,WP6_TOP,85.0
5,M,251.0,BIN4_TOP,112.00000000000001
5,M,363.0,BIN4,112.00000000000001
5,RL,475.0,,10.0
2,R,485.0,WP3_TOP,100.0
2,R,585.0,WP3,100.0
2,G,685.0,,10.0
2,M,695.0,WP3_TOP,105.0
2,M,800.0,A3,117.99999999999999
2,A,918.0,,10.0
2,RL,928.0,,10.0
3,R,938.0,WP4_TOP,122.0
3,R,1060.0,WP4,122.0
3,G,1182.0,,10.0
3,M,1192.0,WP4_TOP,128.0
3,M,1320.0,A4,123.00000000000001
3,A,1443.0,,10.0
3,RL,1453.0,,10.0
